,Unnamed: 0.1,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,milliseconds_numeric
6237,6237,24278,24284,1014,822,131,77,1,2,2,2,18.0,66,+4.074,5754517,55,2,1:18.737,212.835,1,5754517
6238,6238,24279,24285,1014,830,9,33,4,3,3,3,15.0,66,+7.679,5758122,57,3,1:19.769,210.081,1,5758122
6239,6239,24280,24286,1014,20,6,5,3,4,4,4,12.0,66,+9.167,5759610,64,4,1:19.820,209.947,1,5759610
6240,6240,24281,24287,1014,844,6,16,5,5,5,5,10.0,66,+13.361,5763804,57,5,1:20.002,209.469,1,5763804
6241,6241,24282,24288,1014,842,9,10,6,6,6,6,8.0,66,+19.576,5770019,57,6,1:20.536,208.080,1,5770019
6242,6242,24283,24289,1014,825,210,20,8,7,7,7,6.0,66,+28.159,5778602,66,9,1:20.770,207.478,1,5778602
6243,6243,24284,24290,1014,832,1,55,12,8,8,8,4.0,66,+32.342,5782785,59,10,1:20.859,207.249,1,5782785
6244,6244,24285,24291,1014,826,5,26,9,9,9,9,2.0,66,+33.056,5783499,64,8,1:20.726,207.591,1,5783499
6245,6245,24286,24292,1014,154,210,8,7,10,10,10,1.0,66,+34.641,5785084,64,12,1:21.057,206.743,1,5785084
6246,6246,24287,24293,1014,848,5,23,11,11,11,11,0.0,66,+35.445,5785888,65,11,1:21.028,206.817,1,5785888
6247,6247,24288,24294,1014,817,4,3,13,12,12,12,0.0,66,+36.758,5787201,56,7,1:20.615,207.876,1,5787201
6248,6248,24289,24295,1014,807,4,27,0,13,13,13,0.0,66,+39.241,5789684,65,13,1:21.282,206.171,1,5789684
6249,6249,24290,24296,1014,8,51,7,14,14,14,14,0.0,66,+41.803,5792246,66,14,1:21.382,205.917,1,5792246
6250,6250,24291,24297,1014,815,211,11,15,15,15,15,0.0,66,+46.877,5797320,65,16,1:21.859,204.717,1,5797320
6251,6251,24292,24298,1014,841,51,99,18,16,16,16,0.0,66,+47.691,5798134,64,15,1:21.833,204.782,1,5798134
6252,6252,24300,24306,1015,1,131,44,1,1,1,1,25.0,78,1:43:28.437,6208437,9,6,1:16.167,157.721,1,6208437
6253,6253,24301,24307,1015,20,6,5,4,2,2,2,18.0,78,+2.602,6211039,9,9,1:16.277,157.494,1,6211039
6254,6254,24302,24308,1015,822,131,77,2,3,3,3,15.0,78,+3.162,6211599,65,2,1:15.163,159.828,1,6211599
6255,6255,24303,24309,1015,830,9,33,3,4,4,4,12.0,78,+5.537,6213974,9,7,1:16.229,157.593,1,6213974
6256,6256,24304,24310,1015,842,9,10,8,5,5,5,11.0,78,+9.946,6218383,72,1,1:14.279,161.730,1,6218383
6257,6257,24305,24311,1015,832,1,55,9,6,6,6,8.0,78,+53.454,6261891,32,5,1:15.891,158.295,1,6261891
6258,6258,24306,24312,1015,826,5,26,7,7,7,7,6.0,78,+54.574,6263011,31,10,1:16.288,157.471,1,6263011
6259,6259,24307,24313,1015,848,5,23,10,8,8,8,4.0,78,+55.200,6263637,43,3,1:15.607,158.890,1,6263637
6260,6260,24308,24314,1015,817,4,3,6,9,9,9,2.0,78,+1:00.894,6269331,78,4,1:15.697,158.701,1,6269331
6261,6261,24309,24315,1015,154,210,8,13,10,10,10,1.0,78,+1:01.034,6269471,41,16,1:16.746,156.531,1,6269471
6262,6262,24310,24316,1015,846,1,4,12,11,11,11,0.0,78,+1:06.801,6275238,61,13,1:16.413,157.214,1,6275238
